name,lat,lng,label,iron_oxide_ratio,ferrous_ratio,clay_alteration_ratio,ndvi,elevation_m,slope_deg,swir_ratio_norm,scene_id,scene_datetime,cloud_cover_pct,source,is_synthetic
Balaghat,21.83,80.19,1,1.495,1.2316,1.1966,0.126,306.0,1.287,0.0895,S2C_MSIL2A_20260616T050651_R019_T44QMK_20260616T100816,2026-06-16T05:06:51.025000Z,0.88,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
Bharweli,21.86,80.26,1,1.4426,1.2028,1.2121,0.1562,308.0,1.461,0.0959,S2C_MSIL2A_20260616T050651_R019_T44QMK_20260616T100816,2026-06-16T05:06:51.025000Z,0.88,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
Ukwa,21.93,80.52,1,1.14,0.7498,1.4302,0.4592,624.0,2.08,0.177,S2C_MSIL2A_20260616T050651_R019_T44QMK_20260616T100816,2026-06-16T05:06:51.025000Z,0.88,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
Tirodi,22.16,79.68,1,1.1149,0.8652,1.3529,0.3888,539.0,1.893,0.15,S2C_MSIL2A_20260407T050651_R019_T44QLK_20260407T103956,2026-04-07T05:06:51.025000Z,0.08,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
Dongri Buzurg,20.99,79.34,1,1.3884,1.3345,1.1769,0.169,280.0,2.164,0.0813,S2C_MSIL2A_20260407T050651_R019_T44QLJ_20260407T103956,2026-04-07T05:06:51.025000Z,0.0,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
Chikla,21.3,79.66,1,1.3063,1.2715,1.2131,0.1562,261.0,1.381,0.0963,S2C_MSIL2A_20260407T050651_R019_T44QLJ_20260407T103956,2026-04-07T05:06:51.025000Z,0.0,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
Mansar,21.44,79.25,1,1.3374,1.457,1.1702,0.1614,331.0,0.643,0.0784,S2C_MSIL2A_20260407T050651_R019_T44QLJ_20260407T103956,2026-04-07T05:06:51.025000Z,0.0,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
Kandri,21.38,79.32,1,1.4194,1.2057,1.2502,0.1532,309.0,1.524,0.1112,S2C_MSIL2A_20260407T050651_R019_T44QLJ_20260407T103956,2026-04-07T05:06:51.025000Z,0.0,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
Gumgaon,21.33,79.03,1,1.3514,1.0597,1.1179,0.0901,299.0,2.372,0.0557,S2C_MSIL2A_20260619T051651_R062_T44QKJ_20260619T101809,2026-06-19T05:16:51.025000Z,1.0,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
Beldongri,21.16,79.18,1,1.1812,1.071,1.1946,0.1491,284.0,0.943,0.0887,S2C_MSIL2A_20260407T050651_R019_T44QLJ_20260407T103956,2026-04-07T05:06:51.025000Z,0.0,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
neg-001,22.05802,79.0841,0,1.2488,1.202,1.2347,0.1447,636.0,1.462,0.105,S2C_MSIL2A_20260510T051651_R062_T44QLK_20260510T101919,2026-05-10T05:16:51.025000Z,0.21,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
neg-002,21.64328,80.77492,0,1.4816,1.4153,1.2298,0.1298,658.0,0.643,0.1031,S2C_MSIL2A_20260616T050651_R019_T44QMK_20260616T100816,2026-06-16T05:06:51.025000Z,0.88,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
neg-003,22.3501,79.54776,0,1.2864,1.1701,1.2661,0.1597,525.0,2.378,0.1174,S2C_MSIL2A_20260407T050651_R019_T44QLK_20260407T103956,2026-04-07T05:06:51.025000Z,0.08,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
neg-004,21.55708,78.97683,0,1.414,1.3276,1.1568,0.1334,350.0,8.698,0.0727,S2C_MSIL2A_20260619T051651_R062_T44QKJ_20260619T101809,2026-06-19T05:16:51.025000Z,1.0,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
neg-005,21.23716,80.03824,0,1.3884,1.2023,1.3457,0.2929,347.0,1.523,0.1474,S2C_MSIL2A_20260507T050651_R019_T44QMJ_20260508T103604,2026-05-07T05:06:51.025000Z,0.85,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
neg-006,21.2398,78.83472,0,1.3378,1.2113,1.1381,0.1084,360.0,1.46,0.0646,S2C_MSIL2A_20260619T051651_R062_T44QKJ_20260619T101809,2026-06-19T05:16:51.025000Z,1.0,Sentinel-2 L2A via Microsoft Planetary Computer; SRTM 30m via OpenTopoData,False
