contract_version,is_synthetic,source,ingested_at,borehole_id,from_depth_m,to_depth_m,mn_pct,fe_pct,sio2_pct,p_pct,al2o3_pct,recovery_pct,assay_method
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401235,MOIL-BAL-01-BH-001,0.0,4.28,2.56,7.42,49.82,0.135,,92.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401259,MOIL-BAL-01-BH-001,4.28,8.72,0.86,5.92,38.21,0.111,,87.5,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401275,MOIL-BAL-01-BH-001,8.72,10.53,3.28,7.35,40.77,0.18,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401289,MOIL-BAL-01-BH-001,10.53,16.53,1.42,8.4,45.43,0.086,,87.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401303,MOIL-BAL-01-BH-001,16.53,21.43,1.48,1.55,48.03,0.137,,88.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401316,MOIL-BAL-01-BH-001,21.43,25.17,6.46,3.9,55.31,0.19,,91.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401329,MOIL-BAL-01-BH-001,25.17,31.17,2.19,4.17,38.37,0.088,,90.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401342,MOIL-BAL-01-BH-001,31.17,36.84,2.65,2.04,55.42,0.066,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401356,MOIL-BAL-01-BH-001,36.84,38.72,1.73,4.53,45.32,0.16,,94.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401369,MOIL-BAL-01-BH-001,38.72,42.63,1.18,7.55,54.5,0.183,,94.5,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401382,MOIL-BAL-01-BH-001,42.63,48.63,3.0,6.38,48.33,0.08,,97.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401395,MOIL-BAL-01-BH-001,48.63,54.63,0.91,4.73,46.1,0.102,,98.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401408,MOIL-BAL-01-BH-001,54.63,56.1,3.97,5.18,40.45,0.115,,89.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401421,MOIL-BAL-01-BH-001,56.1,57.5,0.46,7.94,48.94,0.107,,97.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401435,MOIL-BAL-01-BH-001,57.5,63.5,0.23,2.26,55.48,0.029,,92.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401448,MOIL-BAL-01-BH-001,63.5,65.34,0.71,8.41,26.33,0.127,,93.5,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401461,MOIL-BAL-01-BH-001,65.34,69.3,0.38,6.92,42.55,0.189,,91.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401474,MOIL-BAL-01-BH-001,69.3,75.07,51.77,8.57,14.98,0.108,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401488,MOIL-BAL-01-BH-001,75.07,76.11,1.99,10.58,47.04,0.157,,87.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401501,MOIL-BAL-01-BH-001,76.11,78.69,3.04,5.43,48.89,0.122,,90.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401514,MOIL-BAL-01-BH-001,78.69,79.19,1.36,5.48,45.03,0.078,,97.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401527,MOIL-BAL-01-BH-001,79.19,82.67,4.36,8.82,44.04,0.056,,89.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401540,MOIL-BAL-01-BH-001,82.67,88.45,3.27,4.19,42.82,0.134,,95.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401554,MOIL-BAL-01-BH-001,88.45,93.43,0.91,2.78,37.41,0.061,,90.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401567,MOIL-BAL-01-BH-001,93.43,95.2,1.01,2.62,50.55,0.228,,85.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401580,MOIL-BAL-01-BH-001,95.2,97.14,1.21,5.45,47.58,0.214,,95.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401593,MOIL-BAL-01-BH-001,97.14,99.0,1.06,6.98,45.53,0.104,,86.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401606,MOIL-BAL-01-BH-001,99.0,105.0,3.31,6.92,41.82,0.118,,83.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401619,MOIL-BAL-01-BH-001,105.0,107.43,1.54,2.86,42.96,0.132,,88.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401632,MOIL-BAL-01-BH-001,107.43,113.19,0.54,8.17,39.77,0.137,,91.5,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401645,MOIL-BAL-01-BH-001,113.19,115.2,1.57,0.11,34.05,0.07,,91.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401658,MOIL-BAL-01-BH-001,115.2,115.7,2.04,5.94,44.18,0.146,,87.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401671,MOIL-BAL-01-BH-001,115.7,118.4,0.75,6.38,48.31,0.169,,89.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401688,MOIL-BAL-01-BH-002,0.0,6.0,5.64,3.92,60.81,0.105,,89.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401701,MOIL-BAL-01-BH-002,6.0,7.28,2.94,5.22,34.04,0.094,,87.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401714,MOIL-BAL-01-BH-002,7.28,12.36,0.07,0.66,44.83,0.052,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401727,MOIL-BAL-01-BH-002,12.36,14.73,4.82,5.22,49.71,0.087,,94.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401740,MOIL-BAL-01-BH-002,14.73,19.02,4.08,7.52,45.77,0.156,,90.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401753,MOIL-BAL-01-BH-002,19.02,22.88,1.95,4.53,46.99,0.125,,89.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401766,MOIL-BAL-01-BH-002,22.88,23.93,0.59,6.29,48.66,0.107,,88.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401779,MOIL-BAL-01-BH-002,23.93,28.59,3.52,5.27,42.66,0.121,,96.6,XRF (synthetic)
