contract_version,is_synthetic,source,ingested_at,mine_code,blast_id,planned_at,executed_at,delay_hours,bench_or_level,holes_charged,explosive_kg,tonnes_broken,mean_fragmentation_cm,outcome
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.329837,MOIL-BAL-01,MOIL-BAL-01-BL-00001,2023-09-21T06:00:00,2023-09-21T06:00:00,0.0,L6,56,253.9,1015.7,17.9,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.329850,MOIL-BAL-01,MOIL-BAL-01-BL-00002,2023-09-22T06:00:00,2023-09-22T11:27:46.773211,5.46,L3,74,358.2,910.2,9.3,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.329860,MOIL-BAL-01,MOIL-BAL-01-BL-00003,2023-09-23T06:00:00,2023-09-23T10:42:59.670356,4.72,L7,71,328.6,866.0,24.0,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.329867,MOIL-BAL-01,MOIL-BAL-01-BL-00004,2023-09-24T06:00:00,2023-09-24T06:00:00,0.0,L7,19,341.3,2907.7,11.9,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.329875,MOIL-BAL-01,MOIL-BAL-01-BL-00005,2023-09-25T06:00:00,2023-09-25T06:00:00,0.0,L2,85,504.3,2116.7,4.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.329883,MOIL-BAL-01,MOIL-BAL-01-BL-00006,2023-09-26T06:00:00,2023-09-26T08:47:23.255936,2.79,L6,80,298.7,1026.6,19.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.329889,MOIL-BAL-01,MOIL-BAL-01-BL-00007,2023-09-27T06:00:00,2023-09-27T06:00:00,0.0,L7,79,186.0,1045.2,8.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.329897,MOIL-BAL-01,MOIL-BAL-01-BL-00008,2023-09-28T06:00:00,2023-09-28T06:00:00,0.0,L8,56,187.5,1459.5,13.0,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.329904,MOIL-BAL-01,MOIL-BAL-01-BL-00009,2023-09-29T06:00:00,2023-09-29T11:09:28.594440,5.16,L3,54,258.9,1675.3,23.8,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.329911,MOIL-BAL-01,MOIL-BAL-01-BL-00010,2023-09-30T06:00:00,2023-09-30T11:20:51.265020,5.35,L5,33,210.9,884.6,18.9,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.329917,MOIL-BAL-01,MOIL-BAL-01-BL-00011,2023-10-01T06:00:00,2023-10-01T11:34:48.033571,5.58,L7,53,634.8,913.1,16.7,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.329923,MOIL-BAL-01,MOIL-BAL-01-BL-00012,2023-10-02T06:00:00,2023-10-02T06:00:00,0.0,L8,87,589.9,1633.5,24.7,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.329987,MOIL-BAL-01,MOIL-BAL-01-BL-00013,2023-10-03T06:00:00,2023-10-03T06:00:00,0.0,L3,66,381.3,1308.6,29.5,success
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.329994,MOIL-BAL-01,MOIL-BAL-01-BL-00014,2023-10-04T06:00:00,2023-10-04T06:00:00,0.0,L2,18,339.8,1269.5,17.4,success
