contract_version,is_synthetic,source,ingested_at,borehole_id,mine_code,latitude,longitude,easting_m,northing_m,collar_elevation_m,total_depth_m,azimuth_deg,dip_deg,drilled_on
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399801,MOIL-BAL-01-BH-001,MOIL-BAL-01,21.826853,80.167984,,,340.4,118.4,104.8,-55.1,2026-04-12
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399826,MOIL-BAL-01-BH-002,MOIL-BAL-01,21.82165,80.181191,,,339.6,133.1,155.4,-66.9,2026-07-11
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399837,MOIL-BAL-01-BH-003,MOIL-BAL-01,21.829853,80.190903,,,279.4,215.6,14.3,-75.4,2023-10-02
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399847,MOIL-BAL-01-BH-004,MOIL-BAL-01,21.820396,80.171191,,,296.5,206.2,30.8,-76.2,2024-10-16
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399857,MOIL-BAL-01-BH-005,MOIL-BAL-01,21.832068,80.183218,,,281.3,87.6,127.4,-65.3,2025-12-23
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399866,MOIL-BAL-01-BH-006,MOIL-BAL-01,21.823962,80.19813,,,347.3,101.2,67.2,-85.3,2025-12-15
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399875,MOIL-BAL-01-BH-007,MOIL-BAL-01,21.83834,80.188629,,,313.5,264.6,244.7,-61.5,2025-09-05
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399884,MOIL-BAL-01-BH-008,MOIL-BAL-01,21.844564,80.19689,,,309.4,229.1,91.0,-55.6,2023-11-26
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399892,MOIL-BAL-01-BH-009,MOIL-BAL-01,21.827057,80.1984,,,398.5,223.9,253.9,-79.9,2024-10-16
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399901,MOIL-BAL-01-BH-010,MOIL-BAL-01,21.822806,80.199034,,,279.5,221.1,109.2,-88.0,2024-10-20
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399910,MOIL-BAL-01-BH-011,MOIL-BAL-01,21.840615,80.202501,,,217.2,215.4,282.5,-75.8,2025-06-13
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399918,MOIL-BAL-01-BH-012,MOIL-BAL-01,21.830983,80.178981,,,320.0,65.2,264.1,-71.4,2024-05-08
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399928,MOIL-BHR-02-BH-001,MOIL-BHR-02,21.868667,80.258434,,,317.1,379.3,268.5,-85.4,2024-04-07
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399936,MOIL-BHR-02-BH-002,MOIL-BHR-02,21.867032,80.266431,,,369.9,70.5,315.2,-51.8,2024-03-05
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399945,MOIL-BHR-02-BH-003,MOIL-BHR-02,21.869729,80.266986,,,310.6,86.9,287.2,-67.3,2024-04-28
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399953,MOIL-BHR-02-BH-004,MOIL-BHR-02,21.859017,80.256668,,,348.8,183.8,331.0,-59.3,2024-11-27
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399962,MOIL-BHR-02-BH-005,MOIL-BHR-02,21.856999,80.257961,,,337.9,130.3,121.7,-67.8,2026-08-25
