contract_version,is_synthetic,source,ingested_at,mine_code,equipment_id,equipment_type,event_type,started_at,ended_at,downtime_hours,failure_mode
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.432373,MOIL-BAL-01,MOIL-BAL-01-PUM-01,pump,breakdown,2023-10-22T00:00:00,2023-10-23T02:04:53.892840,26.08,motor trip
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.432570,MOIL-BAL-01,MOIL-BAL-01-PUM-01,pump,breakdown,2024-07-13T01:00:00,2024-07-13T06:41:06.905628,5.69,motor trip
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.432730,MOIL-BAL-01,MOIL-BAL-01-PUM-01,pump,scheduled_maintenance,2025-02-15T08:00:00,2025-02-15T10:36:34.590294,2.61,
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.432747,MOIL-BAL-01,MOIL-BAL-01-PUM-01,pump,scheduled_maintenance,2025-03-04T13:00:00,2025-03-04T22:26:21.560612,9.44,
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.432873,MOIL-BAL-01,MOIL-BAL-01-PUM-01,pump,breakdown,2025-08-27T20:00:00,2025-08-27T23:57:03.145751,3.95,seal failure
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.432884,MOIL-BAL-01,MOIL-BAL-01-PUM-01,pump,breakdown,2025-09-03T20:00:00,2025-09-04T10:12:12.938487,14.2,motor trip
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433016,MOIL-BAL-01,MOIL-BAL-01-PUM-01,pump,breakdown,2026-03-01T14:00:00,2026-03-01T21:12:57.887538,7.22,motor trip
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433064,MOIL-BAL-01,MOIL-BAL-01-PUM-01,pump,breakdown,2026-05-01T04:00:00,2026-05-01T18:24:20.968803,14.41,motor trip
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433071,MOIL-BAL-01,MOIL-BAL-01-PUM-01,pump,breakdown,2026-05-02T05:00:00,2026-05-02T20:53:12.283822,15.89,impeller wear
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433084,MOIL-BAL-01,MOIL-BAL-01-PUM-01,pump,breakdown,2026-05-14T20:00:00,2026-05-15T03:40:45.681853,7.68,impeller wear
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433103,MOIL-BAL-01,MOIL-BAL-01-PUM-01,pump,breakdown,2026-05-31T02:00:00,2026-05-31T07:12:01.070913,5.2,motor trip
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433144,MOIL-BAL-01,MOIL-BAL-01-PUM-01,pump,breakdown,2026-07-23T13:00:00,2026-07-23T21:07:18.544501,8.12,seal failure
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433176,MOIL-BAL-01,MOIL-BAL-01-PUM-01,pump,breakdown,2026-09-02T11:00:00,2026-09-02T17:31:04.143878,6.52,impeller wear
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433205,MOIL-BAL-01,MOIL-BAL-01-DRI-02,drill,breakdown,2023-10-03T14:00:00,2023-10-04T04:17:17.495676,14.29,bit wear
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433253,MOIL-BAL-01,MOIL-BAL-01-DRI-02,drill,breakdown,2023-11-24T14:00:00,2023-11-25T04:12:38.048154,14.21,bit wear
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433268,MOIL-BAL-01,MOIL-BAL-01-DRI-02,drill,scheduled_maintenance,2023-12-11T12:00:00,2023-12-11T14:24:24.282175,2.41,
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433403,MOIL-BAL-01,MOIL-BAL-01-DRI-02,drill,breakdown,2024-06-20T02:00:00,2024-06-20T07:23:15.001830,5.39,rod breakage
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433677,MOIL-BAL-01,MOIL-BAL-01-DRI-02,drill,breakdown,2025-07-24T02:00:00,2025-07-25T14:48:02.466781,36.8,rod breakage
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433684,MOIL-BAL-01,MOIL-BAL-01-DRI-02,drill,breakdown,2025-07-27T07:00:00,2025-07-27T17:57:56.654301,10.97,compressor fault
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433844,MOIL-BAL-01,MOIL-BAL-01-DRI-02,drill,scheduled_maintenance,2026-03-15T02:00:00,2026-03-15T07:53:06.899268,5.89,
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.433858,MOIL-BAL-01,MOIL-BAL-01-DRI-02,drill,breakdown,2026-03-28T08:00:00,2026-03-28T18:38:11.850811,10.64,bit wear
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.434060,MOIL-BAL-01,MOIL-BAL-01-CRU-03,crusher,breakdown,2024-01-14T07:00:00,2024-01-14T11:06:17.028571,4.1,jam
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.434082,MOIL-BAL-01,MOIL-BAL-01-CRU-03,crusher,scheduled_maintenance,2024-02-10T03:00:00,2024-02-10T17:10:51.182301,14.18,
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T13:11:44.434164,MOIL-BAL-01,MOIL-BAL-01-CRU-03,crusher,breakdown,2024-06-03T08:00:00,2024-06-03T10:29:21.853215,2.49,liner wear
