contract_version,is_synthetic,source,ingested_at,borehole_id,from_depth_m,to_depth_m,rock_type,formation,weathering
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680714,MOIL-BAL-01-BH-001,0.0,21.15,phyllite,Sausar Group / Mansar Formation,fresh
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680731,MOIL-BAL-01-BH-001,21.15,42.19,calc-granulite,Sausar Group / Mansar Formation,moderately
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680741,MOIL-BAL-01-BH-001,42.19,54.02,phyllite,Sausar Group / Mansar Formation,slightly
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680750,MOIL-BAL-01-BH-001,54.02,65.91,mica-schist,Sausar Group / Mansar Formation,slightly
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680758,MOIL-BAL-01-BH-001,65.91,99.48,gondite,Sausar Group / Mansar Formation,slightly
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680765,MOIL-BAL-01-BH-001,99.48,117.09,manganese ore,Sausar Group / Mansar Formation,fresh
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680773,MOIL-BAL-01-BH-001,117.09,118.4,gondite,Sausar Group / Mansar Formation,fresh
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680781,MOIL-BAL-01-BH-002,0.0,5.03,mica-schist,Sausar Group / Mansar Formation,slightly
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680788,MOIL-BAL-01-BH-002,5.03,18.87,gondite,Sausar Group / Mansar Formation,slightly
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680796,MOIL-BAL-01-BH-002,18.87,30.72,gondite,Sausar Group / Mansar Formation,moderately
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680803,MOIL-BAL-01-BH-002,30.72,45.47,mica-schist,Sausar Group / Mansar Formation,fresh
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680811,MOIL-BAL-01-BH-002,45.47,66.23,quartzite,Sausar Group / Mansar Formation,slightly
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680818,MOIL-BAL-01-BH-002,66.23,73.49,phyllite,Sausar Group / Mansar Formation,slightly
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680825,MOIL-BAL-01-BH-002,73.49,85.14,gondite,Sausar Group / Mansar Formation,fresh
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680834,MOIL-BAL-01-BH-002,85.14,112.42,quartzite,Sausar Group / Mansar Formation,fresh
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680841,MOIL-BAL-01-BH-002,112.42,133.1,manganese ore,Sausar Group / Mansar Formation,moderately
1.0.0,True,nakshatra-synthetic-v1,2026-09-21T13:00:24.680848,MOIL-BAL-01-BH-003,0.0,30.87,phyllite,Sausar Group / Mansar Formation,fresh
