contract_version,is_synthetic,source,ingested_at,mine_code,grade,period_start,period_end,tonnes,mine_type,period_grain,operating_hours
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214315,MOIL-BAL-01,ferro_manganese,2023-09-21,2023-09-21,237.87,underground,daily,24.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214336,MOIL-BAL-01,silico_manganese,2023-09-21,2023-09-21,345.32,underground,daily,20.3
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214343,MOIL-BAL-01,blast_furnace,2023-09-21,2023-09-21,152.6,underground,daily,20.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214349,MOIL-BAL-01,dioxide,2023-09-21,2023-09-21,35.41,underground,daily,23.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214360,MOIL-BAL-01,ferro_manganese,2023-09-22,2023-09-22,232.26,underground,daily,21.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214365,MOIL-BAL-01,silico_manganese,2023-09-22,2023-09-22,346.51,underground,daily,19.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214370,MOIL-BAL-01,blast_furnace,2023-09-22,2023-09-22,151.29,underground,daily,23.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214374,MOIL-BAL-01,dioxide,2023-09-22,2023-09-22,37.84,underground,daily,20.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214383,MOIL-BAL-01,ferro_manganese,2023-09-23,2023-09-23,260.17,underground,daily,18.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214387,MOIL-BAL-01,silico_manganese,2023-09-23,2023-09-23,394.14,underground,daily,18.6
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214392,MOIL-BAL-01,blast_furnace,2023-09-23,2023-09-23,162.79,underground,daily,18.7
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214396,MOIL-BAL-01,dioxide,2023-09-23,2023-09-23,43.33,underground,daily,18.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214403,MOIL-BAL-01,ferro_manganese,2023-09-24,2023-09-24,271.57,underground,daily,18.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214408,MOIL-BAL-01,silico_manganese,2023-09-24,2023-09-24,394.27,underground,daily,19.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214412,MOIL-BAL-01,blast_furnace,2023-09-24,2023-09-24,169.32,underground,daily,20.7
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214416,MOIL-BAL-01,dioxide,2023-09-24,2023-09-24,44.16,underground,daily,20.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214423,MOIL-BAL-01,ferro_manganese,2023-09-25,2023-09-25,268.14,underground,daily,19.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214428,MOIL-BAL-01,silico_manganese,2023-09-25,2023-09-25,387.24,underground,daily,20.7
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214432,MOIL-BAL-01,blast_furnace,2023-09-25,2023-09-25,177.71,underground,daily,21.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214436,MOIL-BAL-01,dioxide,2023-09-25,2023-09-25,41.92,underground,daily,24.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214443,MOIL-BAL-01,ferro_manganese,2023-09-26,2023-09-26,249.45,underground,daily,18.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214449,MOIL-BAL-01,silico_manganese,2023-09-26,2023-09-26,371.52,underground,daily,20.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214454,MOIL-BAL-01,blast_furnace,2023-09-26,2023-09-26,162.47,underground,daily,24.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214460,MOIL-BAL-01,dioxide,2023-09-26,2023-09-26,42.22,underground,daily,19.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214468,MOIL-BAL-01,ferro_manganese,2023-09-27,2023-09-27,247.16,underground,daily,18.6
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214473,MOIL-BAL-01,silico_manganese,2023-09-27,2023-09-27,372.36,underground,daily,19.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214477,MOIL-BAL-01,blast_furnace,2023-09-27,2023-09-27,149.36,underground,daily,24.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214482,MOIL-BAL-01,dioxide,2023-09-27,2023-09-27,42.71,underground,daily,19.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214488,MOIL-BAL-01,ferro_manganese,2023-09-28,2023-09-28,261.64,underground,daily,16.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214493,MOIL-BAL-01,silico_manganese,2023-09-28,2023-09-28,415.92,underground,daily,17.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214497,MOIL-BAL-01,blast_furnace,2023-09-28,2023-09-28,183.88,underground,daily,22.1
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214501,MOIL-BAL-01,dioxide,2023-09-28,2023-09-28,44.16,underground,daily,18.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214508,MOIL-BAL-01,ferro_manganese,2023-09-29,2023-09-29,246.15,underground,daily,22.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214512,MOIL-BAL-01,silico_manganese,2023-09-29,2023-09-29,369.2,underground,daily,17.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214518,MOIL-BAL-01,blast_furnace,2023-09-29,2023-09-29,158.54,underground,daily,21.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214522,MOIL-BAL-01,dioxide,2023-09-29,2023-09-29,37.6,underground,daily,21.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214528,MOIL-BAL-01,ferro_manganese,2023-09-30,2023-09-30,212.57,underground,daily,18.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214533,MOIL-BAL-01,silico_manganese,2023-09-30,2023-09-30,315.93,underground,daily,22.6
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214537,MOIL-BAL-01,blast_furnace,2023-09-30,2023-09-30,144.52,underground,daily,19.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214541,MOIL-BAL-01,dioxide,2023-09-30,2023-09-30,32.82,underground,daily,21.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214547,MOIL-BAL-01,ferro_manganese,2023-10-01,2023-10-01,217.03,underground,daily,18.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214552,MOIL-BAL-01,silico_manganese,2023-10-01,2023-10-01,334.78,underground,daily,17.6
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214556,MOIL-BAL-01,blast_furnace,2023-10-01,2023-10-01,145.58,underground,daily,18.3
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214561,MOIL-BAL-01,dioxide,2023-10-01,2023-10-01,37.98,underground,daily,15.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214567,MOIL-BAL-01,ferro_manganese,2023-10-02,2023-10-02,223.63,underground,daily,19.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214571,MOIL-BAL-01,silico_manganese,2023-10-02,2023-10-02,333.04,underground,daily,19.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214576,MOIL-BAL-01,blast_furnace,2023-10-02,2023-10-02,148.35,underground,daily,16.3
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214580,MOIL-BAL-01,dioxide,2023-10-02,2023-10-02,34.96,underground,daily,22.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214586,MOIL-BAL-01,ferro_manganese,2023-10-03,2023-10-03,186.05,underground,daily,18.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214590,MOIL-BAL-01,silico_manganese,2023-10-03,2023-10-03,305.86,underground,daily,20.1
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214595,MOIL-BAL-01,blast_furnace,2023-10-03,2023-10-03,127.11,underground,daily,20.7
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214599,MOIL-BAL-01,dioxide,2023-10-03,2023-10-03,32.6,underground,daily,21.3
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214607,MOIL-BAL-01,ferro_manganese,2023-10-04,2023-10-04,252.41,underground,daily,19.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214611,MOIL-BAL-01,silico_manganese,2023-10-04,2023-10-04,368.58,underground,daily,20.3
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214615,MOIL-BAL-01,blast_furnace,2023-10-04,2023-10-04,165.17,underground,daily,18.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214620,MOIL-BAL-01,dioxide,2023-10-04,2023-10-04,45.31,underground,daily,18.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214626,MOIL-BAL-01,ferro_manganese,2023-10-05,2023-10-05,243.61,underground,daily,18.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214630,MOIL-BAL-01,silico_manganese,2023-10-05,2023-10-05,386.15,underground,daily,23.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214636,MOIL-BAL-01,blast_furnace,2023-10-05,2023-10-05,157.03,underground,daily,20.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214640,MOIL-BAL-01,dioxide,2023-10-05,2023-10-05,41.77,underground,daily,20.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214646,MOIL-BAL-01,ferro_manganese,2023-10-06,2023-10-06,216.22,underground,daily,19.6
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214651,MOIL-BAL-01,silico_manganese,2023-10-06,2023-10-06,294.38,underground,daily,16.6
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214655,MOIL-BAL-01,blast_furnace,2023-10-06,2023-10-06,136.79,underground,daily,20.7
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214659,MOIL-BAL-01,dioxide,2023-10-06,2023-10-06,35.39,underground,daily,19.3
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214665,MOIL-BAL-01,ferro_manganese,2023-10-07,2023-10-07,240.66,underground,daily,17.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214669,MOIL-BAL-01,silico_manganese,2023-10-07,2023-10-07,367.67,underground,daily,22.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214674,MOIL-BAL-01,blast_furnace,2023-10-07,2023-10-07,155.77,underground,daily,22.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214678,MOIL-BAL-01,dioxide,2023-10-07,2023-10-07,40.58,underground,daily,16.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214684,MOIL-BAL-01,ferro_manganese,2023-10-08,2023-10-08,230.21,underground,daily,22.1
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214688,MOIL-BAL-01,silico_manganese,2023-10-08,2023-10-08,376.16,underground,daily,19.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214692,MOIL-BAL-01,blast_furnace,2023-10-08,2023-10-08,154.99,underground,daily,19.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214697,MOIL-BAL-01,dioxide,2023-10-08,2023-10-08,38.96,underground,daily,18.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214703,MOIL-BAL-01,ferro_manganese,2023-10-09,2023-10-09,244.39,underground,daily,23.6
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214709,MOIL-BAL-01,silico_manganese,2023-10-09,2023-10-09,348.17,underground,daily,20.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214714,MOIL-BAL-01,blast_furnace,2023-10-09,2023-10-09,162.67,underground,daily,21.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214718,MOIL-BAL-01,dioxide,2023-10-09,2023-10-09,39.0,underground,daily,20.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214725,MOIL-BAL-01,ferro_manganese,2023-10-10,2023-10-10,257.62,underground,daily,22.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214729,MOIL-BAL-01,silico_manganese,2023-10-10,2023-10-10,388.84,underground,daily,18.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214734,MOIL-BAL-01,blast_furnace,2023-10-10,2023-10-10,178.86,underground,daily,20.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214738,MOIL-BAL-01,dioxide,2023-10-10,2023-10-10,42.12,underground,daily,19.1
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214744,MOIL-BAL-01,ferro_manganese,2023-10-11,2023-10-11,238.09,underground,daily,17.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214748,MOIL-BAL-01,silico_manganese,2023-10-11,2023-10-11,340.58,underground,daily,19.6
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214753,MOIL-BAL-01,blast_furnace,2023-10-11,2023-10-11,157.36,underground,daily,21.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214758,MOIL-BAL-01,dioxide,2023-10-11,2023-10-11,35.23,underground,daily,18.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214765,MOIL-BAL-01,ferro_manganese,2023-10-12,2023-10-12,281.81,underground,daily,20.7
